"theta=0.5,h=0","theta=0.5,h=1","theta=0.5,h=2","theta=0.5,h=3","theta=0.5,h=4","theta=0.5,h=5","theta=0.5,h=6","theta=0.5,h=7","theta=0.5,h=8","theta=0.5,h=9","theta=0.6,h=0","theta=0.6,h=1","theta=0.6,h=2","theta=0.6,h=3","theta=0.6,h=4","theta=0.6,h=5","theta=0.6,h=6","theta=0.6,h=7","theta=0.6,h=8","theta=0.6,h=9","theta=0.7,h=0","theta=0.7,h=1","theta=0.7,h=2","theta=0.7,h=3","theta=0.7,h=4","theta=0.7,h=5","theta=0.7,h=6","theta=0.7,h=7","theta=0.7,h=8","theta=0.7,h=9","theta=0.8,h=0","theta=0.8,h=1","theta=0.8,h=2","theta=0.8,h=3","theta=0.8,h=4","theta=0.8,h=5","theta=0.8,h=6","theta=0.8,h=7","theta=0.8,h=8","theta=0.8,h=9","theta=0.9,h=0","theta=0.9,h=1","theta=0.9,h=2","theta=0.9,h=3","theta=0.9,h=4","theta=0.9,h=5","theta=0.9,h=6","theta=0.9,h=7","theta=0.9,h=8","theta=0.9,h=9","theta=1,h=0","theta=1,h=1","theta=1,h=2","theta=1,h=3","theta=1,h=4","theta=1,h=5","theta=1,h=6","theta=1,h=7","theta=1,h=8","theta=1,h=9"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332,0.5333332
2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346,2.33333346
2.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,2.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333,5.8333333
0,2.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,0,2.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,0,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,0,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,0.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,0.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889,5.8888889
1.46153846,1.46153846,4.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,1.46153846,1.46153846,4.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,1.46153846,1.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,1.46153846,1.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,2.46153846,2.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,2.46153846,2.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846,7.46153846
2.5833334,3.5833334,3.5833334,6.50000007,9.50000007,9.50000007,9.50000007,9.50000007,9.50000007,9.50000007,2.5833334,3.5833334,3.5833334,6.50000007,9.50000007,9.50000007,9.50000007,9.50000007,9.50000007,9.50000007,2.5833334,3.5833334,3.5833334,9.50000007,9.50000007,9.50000007,9.50000007,9.50000007,9.50000007,9.50000007,2.5833334,3.5833334,3.5833334,9.50000007,9.50000007,9.50000007,9.50000007,9.50000007,9.50000007,9.50000007,2.5833334,4.50000007,4.50000007,9.50000007,9.50000007,9.50000007,9.50000007,9.50000007,9.50000007,9.50000007,3.5833334,3.5833334,3.5833334,8.5833334,8.5833334,8.5833334,8.5833334,8.5833334,8.5833334,8.5833334
1.88888888,5.7222222,6.7222222,6.7222222,9.7222222,12.7222222,12.7222222,12.7222222,12.7222222,12.7222222,2.83333332,5.7222222,6.7222222,6.7222222,9.7222222,12.7222222,12.7222222,12.7222222,12.7222222,12.7222222,4.7222222,5.7222222,6.7222222,6.7222222,12.7222222,12.7222222,12.7222222,12.7222222,12.7222222,12.7222222,5.7222222,5.7222222,6.7222222,6.7222222,12.7222222,12.7222222,12.7222222,12.7222222,12.7222222,12.7222222,5.7222222,5.7222222,7.7222222,7.7222222,12.7222222,12.7222222,12.7222222,12.7222222,12.7222222,12.7222222,5.7222222,6.7222222,6.7222222,6.7222222,11.7222222,11.7222222,11.7222222,11.7222222,11.7222222,11.7222222
1.4736844,2.9473686,6.9473686,7.9473686,7.9473686,10.7368422,13.7368422,13.7368422,13.7368422,13.7368422,1.4736844,3.3684212,6.3684212,7.3684212,7.3684212,10.1578948,13.1578948,13.1578948,13.1578948,13.1578948,1.4736844,5.3684212,6.3684212,7.3684212,7.3684212,13.1578948,13.1578948,13.1578948,13.1578948,13.1578948,1.4736844,6.3684212,6.3684212,7.3684212,7.3684212,13.1578948,13.1578948,13.1578948,13.1578948,13.1578948,1.4736844,5.4736844,5.4736844,6.4736844,6.4736844,10.4736844,10.4736844,10.4736844,10.4736844,10.4736844,5.5789475,6.5789475,7.5789475,7.5789475,7.5789475,11.5789475,11.5789475,11.5789475,11.5789475,11.5789475
1.5666667,1.5666667,3.3,7.3,8.3,8.3,10.96666667,13.96666667,13.96666667,13.96666667,1.5666667,1.5666667,3.3,6.3,7.3,7.3,9.96666667,12.96666667,12.96666667,12.96666667,1.5666667,1.5666667,5.3,6.3,7.3,7.3,12.3,12.3,12.3,12.3,1.5666667,1.5666667,5.5666667,5.5666667,6.5666667,6.5666667,11.5666667,11.5666667,11.5666667,11.5666667,1.5666667,1.5666667,5.5666667,5.5666667,6.5666667,6.5666667,10.5666667,10.5666667,10.5666667,10.5666667,3.1,6.1,7.1,8.1,8.1,8.1,12.1,12.1,12.1,12.1
3.44827584,4.44827584,4.44827584,6.44827584,10.44827584,11.44827584,11.44827584,14.44827584,17.41379308,17.41379308,4.44827584,4.44827584,4.44827584,6.44827584,9.44827584,10.44827584,10.44827584,13.44827584,16.41379308,16.41379308,4.44827584,4.44827584,4.44827584,8.44827584,9.44827584,10.44827584,10.44827584,15.41379308,15.41379308,15.41379308,4.44827584,4.44827584,4.44827584,8.44827584,8.44827584,9.44827584,9.44827584,14.41379308,14.41379308,14.41379308,3.96551724,3.96551724,3.96551724,7.96551724,7.96551724,8.96551724,8.96551724,12.93103448,12.93103448,12.93103448,4,5,8,9,10,10,10,13,13,13
1.4347827,4.39130444,5.39130444,5.39130444,7.39130444,11.39130444,12.39130444,12.39130444,15.21739144,18.21739144,1.4347827,5.39130444,5.39130444,5.39130444,7.39130444,10.39130444,11.39130444,11.39130444,14.21739144,17.21739144,0.826087,4.78260874,4.78260874,4.78260874,8.78260874,9.78260874,10.78260874,10.78260874,15.78260874,15.78260874,0.826087,4.78260874,4.78260874,4.78260874,8.78260874,8.78260874,9.78260874,9.78260874,14.78260874,14.78260874,0,3.95652174,3.95652174,3.95652174,7.95652174,7.95652174,8.95652174,8.95652174,12.95652174,12.95652174,0,4,5,8,9,10,10,10,13,13
1.94736842105263,1.94736842105263,1.94736842105263,1.94736842105263,1.94736842105263,1.94736842105263,1.94736842105263,1.94736842105263,1.94736842105263,1.94736842105263,2.05263157894737,2.05263157894737,2.05263157894737,2.05263157894737,2.05263157894737,2.05263157894737,2.05263157894737,2.05263157894737,2.05263157894737,2.05263157894737,2.38888888888889,2.38888888888889,2.38888888888889,2.38888888888889,2.38888888888889,2.38888888888889,2.38888888888889,2.38888888888889,2.38888888888889,2.38888888888889,2.44444444444444,2.44444444444444,2.44444444444444,2.44444444444444,2.44444444444444,2.44444444444444,2.44444444444444,2.44444444444444,2.44444444444444,2.44444444444444,2.58823529411765,2.58823529411765,2.58823529411765,2.58823529411765,2.58823529411765,2.58823529411765,2.58823529411765,2.58823529411765,2.58823529411765,2.58823529411765,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125
